,date,arrondissement,auteur,etoile,education,securite,loisir,sante,transport,qualite de vie,culture,commerce,environnement,commentairePositif,commentaireNegatif
244,Avis posté le 20-07-2020 à 07:20,paris-11e-arrondissement_75111,Coeurdeparis11,9.44,9,8,9,9,10,10,9,9,8,"Les points positifs : Emplacement exceptionnel à la fois très bien desservie par métro/bus/tram et très proche du bois de Vincennes
Dans des quartiers qui bougent.
Population très sympathique.
Des marchés en extérieur quasi tous les jours, de bons commerces.",Les points négatifs : Bruyant par endroit. Pollution olfactive mais la mairie développe de nouvelles mobilités et renforce la propreté.
245,Avis posté le 10-06-2020 à 16:15,paris-11e-arrondissement_75111,paulinedufaubourg,8.44,7,7,7,9,10,9,8,10,5,"Les points positifs : J'habite le faubourg St Antoine depuis plus de 6 ans (métro Faidherbe) et j'adore ce quartier!
Coup de coeur pour ce quartier à mon arrivée, je le quitte à regret suite à la flambée croissante du prix de l'immobilier. J'arrivais du 11e, côté avenue de la République et St Maur, et ce n'est pas du tout la même ambiance. Je préfère nettement ce côté ci.
- les commerçants souriants et amicaux du faubourg. On peut tout y acheter sans avoir à prendre les transports, des petits commerces de bouche aux grandes enseignes en allant vers Bastille
-un des derniers Mona Lisa de Paris avec une collection de livres d'art et de livres pour enfants vraiment pas chers
- des cinémas
- des transports partout et des pistes cyclables à présent
- une ambiance sympa de quartier, le ""village Faidherbe"" est très agréable
- des  brocantes, des ludothèques pour les enfants aux beaux jours
- une population mixte et des ""originaux"" qu'on croise souvent et identifie très vite (ceux qui vivent sur le faubourg savent!)
- des terrasses, des bistrots sympas pour s'installer entre amis et même en famille
- des médecins, centres de santé, à foison et des hôpitaux et maternités pas loin
- proximité du bois de Vincennes en Vélo,
- proximité du port de l'Arsenal et des quais de Seine, du marais à pied
- le marché d'Aligre, bien sûr!
- il se passe toujours quelque chose sur le faubourg. Dans mon studio au 5e étage je passais ma vie à ma fenêtre.
- en bref il fait bon vivre sur le faubourg. Si vous avez un petit coup de déprime, vous sortez de chez vous et en 1 minute vous croisez un commerçant, une connaissance avec qui papoter. On ne se sent jamais seul!","Les points négatifs : -quartier qui change. Les prix prohibitifs de l'immobilier amènent un changement de la population
-moins de mixité sociale, ou plutôt un grand écart entre des CSP ++ et les hôtels sociaux
-les classes moyennes (dont je fais partie) ne peuvent plus s'y installer (en tout cas pas si vous voulez plus de 35 m2)
- changement de profil des bars et du prix de la pinte
- ouvertures en masse de supermarchés bio hors de prix et de ""concept stores"" à la définition bien obscure.
- peu d'espaces verts, square Titon bondé aux beaux jours, et on cuit l'été sur le bitume.
- faubourg bouillonnant, passé 35 ans on souhaite un peu plus de calme
- trottoirs souvent sales
- des roms se sont installés sur le faubourg il y a environ 3 ans... et ont installé leurs quartiers devant chaque vitrine fermée. ils ne sont plus là depuis la crise sanitaire mais vont peut être revenir.
- les retraités et les classes moyennes s'en vont. Notre immeuble se remplit de trentenaires assez fortunés, plutôt fêtards et pas toujours très respectueux des familles.
en bref si vous êtes trentenaire dans le vent, fêtard et avec de beaux revenus vous serez chez vous, mais attention à ne pas faire d'enfants, vous ne pourrez pas vous reloger!
pour les autres qui s'accrochent ici dans de tous petits espaces, tenez bon. Nous on capitule, on part en  banlieue!"
246,Avis posté le 10-05-2020 à 00:10,paris-11e-arrondissement_75111,bododo,4.50,5,2,4,4,7,5,6,3,1,"Les points positifs : quartier bien desservi.
des bouches de métro pour se diriger dans divers arrondissements ainsi que des autobus.
quartier plus ou moins agréable.
mais trop de bobos et trop cher du m2 maintenant.","Les points négatifs : trop de bruit.
trop de commerces de bouffe et des bars.
les rues sont loin d'être bien nettoyées.
pas assez d'espaces verts.
trop de travaux en même temps."
247,Avis posté le 17-02-2020 à 15:30,paris-11e-arrondissement_75111,DK-SoW_15,8.19,8,6,8,7,10,8,10,10,8,"Les points positifs : - Arrondissement ayant le plus de stations de métro, très appréciable !
- Beaucoup de bars, restaurants et commerces.
- Arrondissement vivant et jeune.
- Quartier Saint-Ambroise magnifique : église et calme, rare pour le 11ème
- De nouveaux parcs créés et de beaux parcs existants.
- On se sent vraiment à Paris dans le 11ème (haussmannien et boulevards)
- Proche du canal Saint-Martin, de bastille, de république, du 3ème, de Ménilmontant...","Les points négatifs : - Bruyant la nuit
- Peu être moins sûr dans certains quartiers la nuit.
- Haut de la rue Oberkampf compliqué pour y vivre. (la nuit)
- Parfois des incivilités.
- Arrondissement qui mériterait plus de propreté."
248,Avis posté le 19-01-2020 à 18:11,paris-11e-arrondissement_75111,lasituation,1.63,1,1,3,5,8,0,1,4,3,"Les points positifs : J'ai vécu dans ce quartier pendant 3 ans et je suis bien content d'être parti.
Point fort : Bien desservi par les transports.","Les points négatifs : Quartier extrêmement bruyant, mal fréquenté, cosmopolite, sale, bref invivable. Je suis bien content d'être parti dans un ""bon"" quartier de l'ouest parisien et c'est le jour et la nuit."
249,Avis posté le 13-10-2019 à 01:18,paris-11e-arrondissement_75111,DandyDady,6.94,6,7,9,7,6,7,10,8,2,"Les points positifs : (Secteur République Oberkampf)

Arrondissement vivant, mixte : pas la sensation d'être dans un ghetto de pauvres ou de riches, même si vers Belleville c'est très « populaire ».
Beaucoup de commerces, restaurants, bars.
Central, pas loin de grands axes tels que république, bastille. Le marais est à distance de marche, ainsi que le 9eme et autres quartiers sympas.
Bons transports pour rallier le nord ouest ou le sud est.
Sécurité acceptable car beaucoup de monde dans les rues.","Les points négatifs : Une saleté des rues inacceptable, presque du niveau des portes nord de Paris. Des tags partout, pas un rideau de magasin n'est épargné. Déchets et encombrants sur la voie publique (matelas, etc).
Beaucoup de sdf, ils ne sont pas méchants, mais ça fait fuir les familles des parcs de la coulée verte qui est laissée dans un état de limite abandon.
Embouteillages à répétition. Et pour les piétons certains axes très compliqués à traverser avec parfois 2-3 feux pour aller d'un côté à l'autre d'une même rue...
Peu de transports directes pour rallier certains points de Paris (notamment rive gauche).
Certains quartiers changent de visage la nuit (Bastille notamment). La rue de la Roquette et ses nombreux bars peut prendre des airs de coupe gorge passé minuit."
250,Avis posté le 01-03-2022 à 22:34,paris-12e-arrondissement_75112,Kaky,6.63,7,5,6,7,8,7,6,7,4,"Les points positifs : Pour les balades,  le bois de Vincennes et la coulée verte à proximité.
Les nombreux moyens de transports,  pour les déplacements.","Les points négatifs : Ville encore trop bruyante. Par les voitures et 2 roues à moteurs.
Trop d'absence de sécurité dans certaines rues,  pas suffisamment de passages et de contrôles des policiers."
251,Avis posté le 01-03-2022 à 13:57,paris-12e-arrondissement_75112,Hadrien75,9.13,8,7,8,9,9,10,9,9,7,"Les points positifs : C'est un arrondissement à l'écart du tourisme Parisien mais proche de tout grâce aux nombreuses lignes de métro et de bus.
Beaucoup d'espaces verts et c'est rare à Paris.
Arrondissement populaire et familial. Il y fait bon vivre.
Pas de problèmes d'insécurité.
En terme de commerces beaucoup de supermarchés,  marchés et épiceries fines.","Les points négatifs : La gestion des déchets et de la propreté de la ville.
Beaucoup de détritus dans la rue,  mais ce n'est pas que le 12e ça devient systématique à Paris.
La politique de la ville de Paris de créer des espaces bétonnés et enlaidir les quartiers est incompréhensible. Bd Daumesnil les bacs ""verts"" sont affreux."
252,Avis posté le 25-02-2022 à 15:12,paris-12e-arrondissement_75112,Rozenwyn,6.25,4,5,7,8,8,6,6,7,7,"Les points positifs : J'ai grandi dans ce quartier que je connais très bien.

- Quelques lieux sont très sympas type Bercy Village avec ses commerces et son super cinéma,  les magnifiques arcades qui mènent à la place de la Bastille où l'on peut admirer des travaux d'artisans et d'artistes...

-Arrondissement le plus vert de Paris avec notamment le Parc de Vincennes, le Parc de Bercy,  la coulée verte.

- Niveau culturel,  la Cinémathèque est un incontournable,  et je recommande vivement le marché de l'Aveyron qui a lieu tous les ans et qui est une véritable bulle d'authenticité régionale et populaire comme Paris en manque tant.

- Rien à dire pour les transports et notamment la ligne 14 qui emmène très rapidement dans le centre de Paris.

- Pour la santé,  les loisirs,  et les commerces,  on est à Paris donc forcément l'accès est très bon.","Les points négatifs : - Ce n'est pas un quartier ancien de Paris, c'est un arrondissement qui manque assez de caractère,  c'est donc assez difficile de s'y attacher. J'ai beau y avoir passé toute mon enfance,  je n'ai pas du tout de lien avec cet arrondissement ni de souvenir incroyable.

- Dans mon quartier,  quasiment tout le monde mettait les enfants à l'école privée pour éviter le public et c'était il y a déjà 10-20 ans. Nombreux collèges remplis d'immigrés extra-européens où personne n'a envie de mettre ses enfants. Mis à part Courteline qui maintient un assez bon niveau,  aucun public ne semble y échapper.

- De même,  si le XIIème est loin d'être le pire arrondissement à ce niveau,  on se sent de plus en plus en insécurité. Ma mère a déjà été agressée par des enfants roms,  son quartier s'est embrasé il y a quelques années à cause d'un concert d'un ressortissant congolais. En rentrant de la gare de Lyon, le soir,  le quartier est désert,  et on voit des groupes de ""jeunes"" traîner,  des exhibitionnistes. Le commissariat semble crouler sous le travail et il faut attendre longtemps pour porter plainte notamment le samedi.

- Enfin,  la propreté est loin d'être optimale,  beaucoup de déchets sur les trottoirs,  abords de la gare de Lyon qui puent l'urine. Friches autour des arbres car les habitants ne s'occupent pas des parcelles et c'était visiblement une mauvaise idée de la Ville de Paris.

Pour toutes ces raisons,  je n'ai pas désiré rester vivre Paris bien qu'une partie de ma famille y soit depuis 4 générations. Dans son enfance dans les années 50-60,  ma mère a connu une ville avec une vraie vie de quartier,  des classes sociales qui se côtoyaient notamment grâce à la messe,  une ville pauvre mais plus homogène et sécurisée (on pouvait laisser les colis dans la rue sans crainte de vol),  ce n'est désormais quasiment plus le cas."
253,Avis posté le 07-02-2022 à 23:48,paris-12e-arrondissement_75112,Momsz,8.88,8,8,9,10,9,9,9,9,8,"Les points positifs : Transports avec la ligne 1,  8,  5,  rer A,  D.
Nombreux commerces,  bars,  restaurants,  boulangeries ouverts à toutes heures. Sans compter les marchés et les parcs.
Hôpitaux de qualité,  variété de médecins.
Cinémas,  salle de sport
Mixité sociale. Vie de quartier.
Écoles.",Les points négatifs : Nuisance sonore sur certains axes routiers.
254,Avis posté le 12-01-2022 à 15:49,paris-12e-arrondissement_75112,Kizar,9.44,8,9,8,9,10,10,8,9,10,"Les points positifs : On est rue des Meuniers.

Étonnée des avis sur la sécurité dans le 12e mais peut-être ça concerne plus Bastille que le sud du 12e. Contrairement à d'autres endroits dans Paris,  jamais eu de souci de sécurité dans ce quartier,  même en étant une femme et rentrant le soir tard.
Les habitants de la cité HLM Meunier-charenton sont très gentils,  jamais eu de souci.

L'environnement ! L'entrée de la coulée verte dans la rue des Meuniers,  le bois de Vincennes (parc Daumesnil) à 5min,  des squares pour les enfants. La rue piétonisée des Meuniers (même si quelques voitures passent encore). Le quartier se végétalise. Les jardins potagers partagés.

Les transports sont un gros gros plus. Cour st Émilion avec la 14 permet d'aller à St Lazare en 15min,  à côté de chez nous y'a la 6 la 8 la 14 et le tram. Et le bus 87/77 qui mène direct à la gare de Lyon !!

Les commerces de proximité av Général Michel Bizot et rue de Wattignies : fromager,  super petits restos,  boucher,  primeur. Beaucoup de bio. Des supermarchés (carrefour par ex) avec beaucoup de bio aussi.

Crèches,  écoles maternelle et primaire,  piscine/stade,  à 2 pas.

Super lieu de vie/bar éphémère chaque année porte Dorée (poisson Lune).","Les points négatifs : Pas évident de trouver une place en crèche,  mais une fois obtenue la crèche municipale est top (Toul). Éviter à tout prix la crèche privée rue de Fécamp,  c'est une catastrophe et y'a beaucoup mieux ailleurs !

Comme partout dans Paris,  trop de trottinettes qui traînent partout,  on doit slalomer sur les trottoirs."
255,Avis posté le 28-12-2021 à 12:30,paris-12e-arrondissement_75112,Mam,2.88,7,1,7,5,5,1,4,8,1,"Les points positifs : Santé,  bois de Vincennes,  commerces.","Les points négatifs : Ordures,  le 12eme est  dégueulasse,  plein de détritus par terre,  autour des arbres plein de papiers,  sacs plastiques,  des poubelles ne sont pas vidées,  j'ai vu des rats,  les trottoirs sont sales. ( Rue de Reuilly ). il y a aussi,  un problème de sécurité,  mon père c'est fait attaquer,  et voler dehors;  au marché,  on ne voit jamais de police... Vers la place Daumesnil. Plusieurs fois j'ai appelé pour la propreté,  mais cela ne sert à rien. "
256,Avis posté le 21-12-2021 à 10:19,paris-12e-arrondissement_75112,Johary,7.75,7,7,7,8,8,8,7,9,7,"Les points positifs : J'habite le 12ème depuis 2 ans maintenant et c'est quand même un bon arrondissement,  il n'y a pas la foule du centre de Paris,  on n'est pas loin de tout et il y a le Bois de Vincennes qui fait parti de l'arrondissement et de supers villes à côté comme Vincennes ou Saint-Mandé.","Les points négatifs : Peut-être que pour sortir,  c'est pas le 11ème et certaines portes ont besoin d'être revues (Porte de Vincennes,  Dorée...)"
257,Avis posté le 24-11-2021 à 23:24,paris-12e-arrondissement_75112,Nathaniel,7.56,5,7,7,8,9,8,6,8,7,"Les points positifs : J'habite dans cet arrondissement depuis maintenant plus de vingt ans,  et je n'ai clairement pas à m'en plaindre.

- Un arrondissement particulièrement bien desservi,  aussi bien par les lignes de métro (1,  5,  6,  8,  14) que de bus (dont la ligne 91 qui relie les gares,  et la 72 qui longe la Seine jusqu'à l'autre bout de la ville). On est à moins de 10 minutes de métro (et de RER) du centre-ville. Présence également du tramway en périphérie,  et bien entendu des gares de Lyon et de Bercy (+ la gare routière). Probablement le principal point fort de cet arrondissement. 

- Présence considérable d'espaces verts (Bois de Vincennes,  parc de Bercy,  coulée verte + proximité avec le jardin des Plantes),  ce qui est évidemment vertueux quand on recherche un peu de quiétude.

- Un arrondissement globalement calme,  sans pour autant être dénué d'animation (à l'exception du quartier Picpus,  très résidentiel). Idéal pour les familles et les jeunes couples.

- Une offre commerciale satisfaisante et variée (rue du faubourg Saint-Antoine,  marché d'Aligre,  rue du Rendez-Vous).

- Pas de problème d'insécurité à part peut-être dans les secteurs Montempoivre-Porte Dorée et Aligre la nuit.

- Offre médicale très satisfaisante,  aussi bien du côté des hôpitaux/cliniques que des médecins de ville.

- Présence de nombreuses infrastructures sportives (en particulier en périphérie ; stade Léo Lagrange notamment).

- Globalement,  un arrondissement où il fait bon vivre,  et en particulier le quartier des Quinze-Vingts près de Bastille,  à la fois dynamique,  sécurisant et extrêmement bien desservi.","Les points négatifs : - Les prix de l'immobilier qui deviennent de plus en plus exorbitants (comme partout dans Paris,  certes).

- La saleté de certains trottoirs (là encore comme quasiment partout dans Paris).

- La qualité des collèges et des lycées (en particulier publics),  très médiocre. Si l'on excepte l'école Boulle,  ce n'est pas très brillant de ce côté.

- Quelques secteurs (Picpus,  Porte de Charenton...) manquent clairement de dynamisme,  en particulier en soirée.

- Il ne fait pas bon d'être automobiliste dans les grands axes de cet arrondissement (rue de Lyon,  rue de Charenton,  boulevard Diderot...) car beaucoup de problèmes d'embouteillages."
258,Avis posté le 24-09-2021 à 15:13,paris-12e-arrondissement_75112,Noelllllllllee,9.00,9,7,9,10,10,9,9,9,9,"Les points positifs : C'est un coin agréable surtout pour les personnes âgées,  la ville est bien desservie,  la mairie facilite leur vie. Ce serait bien que cela s'étende à toute la France.
Il y a des parcs des piscines,  des lieux culturels.","Les points négatifs : Me concernant j'ai essuyé des refus de plainte(3), les tribunaux sont débordés donc ils n'ont pas le temps de traiter les plaintes et tout le monde s'en fout qu'une enflure n'ayant pas le droit de conduire m'ait percuté sur plusieurs mètres."
259,Avis posté le 19-08-2021 à 21:47,paris-12e-arrondissement_75112,Jean,6.38,6,7,6,8,8,6,5,8,6,"Les points positifs : Quartier Picpus assez agréable avec rue du rendez vous. Daumesnil aussi. Faidherbe vivant mais plus populaire. Bien desservi en transports. Éviter les portes. Mais cela reste urbain. Je préférais Vincennes où j'ai vécu 7 ans. Proche du 11ème néanmoins et des rues avec resto (exemple rue de Montreuil).
De nombreux commerçants rue du rendez vous,  mais honnêteté et amabilité variable. Certains vous arnaquent franchement,  sans complexe. Mais pas pire qu'ailleurs à Paris. D'autres sont top.","Les points négatifs : Impression parfois de tourner en rond pour les célibataires ou couples.
Les portes.
Piscine porte de Vincennes dont le prix augmente en été!"
260,Avis posté le 20-07-2021 à 01:13,paris-12e-arrondissement_75112,Kler,9.50,9,10,8,10,9,10,9,9,8,"Les points positifs : Super arrondissement +++
On adore la petite ceinture avec les cerisiers en fleurs,  notamment.
On retrouve une ville calme,  mais accessible en tout point grâce aux transports en commun !","Les points négatifs : Il faut bannir les voitures,  le quartier sera alors idéal.
Je note aussi une trop grande présence de la police aussi dans le quartier,  dommage. Je n'ai jamais été si sereine en rentrant à pied le soir !"
261,Avis posté le 20-06-2021 à 22:47,paris-12e-arrondissement_75112,Sterenn,8.13,8,9,8,9,9,8,7,8,8,"Les points positifs : Beaucoup d'espaces verts,  la coulée verte,  des trottoirs larges où l'on peut marcher aisément,  des commerces de qualité. Une vraie vie de quartier ! L'impression d'être dans une banlieue cossue et non à Paris.","Les points négatifs : L'immobilier est cher comme le reste de Paris. Les trottoirs mériteraient d'être plus propres,  souvent jonchés de déchets et de crottes de chien."
262,Avis posté le 18-05-2021 à 09:15,paris-12e-arrondissement_75112,RB1977,8.75,7,9,9,8,10,9,8,8,9,"Les points positifs : Arrondissement très agréable,  où se côtoient avec harmonie verdure et urbanisme. Le réseau de transport permet un accès rapide à tout Paris. La population est hétéroclite. Il y fait très bon vivre.","Les points négatifs : Je dirais la qualité de l'enseignement public,  ce qui est valable dans la France entière,  semble-t-il.
Le fort pourcentage de HLM,  où les populations éduquent de moins en moins correctement les enfants,  se ressent dans le niveau global des classes."
263,Avis posté le 08-05-2021 à 16:57,paris-12e-arrondissement_75112,VB12,4.75,8,3,5,6,9,3,8,8,5,Les points positifs : Facilité pour les déplacements en transport en commun.,"Les points négatifs : Aucune civilité des personnes utilisant les trottinettes et vélos surtout les stationnement de ces véhicules en ""libre services"". De moins en moins de sécurité. Impossibilité de se garer dû au suppression de places dans les petites rues au profit des trottinettes électriques qui se garent n'importe comment (sur les trottoirs, les passages piétons, les emplacements des voitures) et qui eux ne sont pas verbalisés. Bref dommage que le quartier se dégrade si vite suite aux idées de certain soit disant écolo car les trottinettes électriques ont des batteries au lithium et qui pullulent dans les rues de la Capitale,  pas très écolo...
Les différents types de batteries pour trottinettes électriques
1 Batteries Plomb (Pb / Sla)
2 Batteries Nickel-Cadmium (Ni-Cad)
3 Batteries Nickel-Métal Hydrure (Ni-mh)
4 Batteries Lithium (li-ion ou Li-Po)"
264,Avis posté le 07-03-2021 à 09:44,paris-12e-arrondissement_75112,Arnaud,8.75,9,8,9,9,9,9,8,7,9,"Les points positifs : De très loin meilleur arrondissement de l'est parisien : Bois de Vincennes,  lac Daumesnil,  coulée verte,  lignes 1, 6 et 14,  RER A et D,  Gare de Lyon,  autoroute A4 à proximité immédiate,  peu de délinquance,  carrefour Bercy2 pour faire ses courses,  cours saint émilion et ses commerces et ugc,  parc de Bercy... qui dit mieux ??","Les points négatifs : - quartier chalon/coté gare mal fréquenté,
- bobos qui arrivent en masse
- sinon Ras, le top du top."
265,Avis posté le 09-01-2021 à 03:46,paris-12e-arrondissement_75112,De lys Roy,6.88,9,0,8,10,7,7,9,6,5,"Les points positifs : L'architecture haussmannien c'est tendance cela va s'en dire.
L'ensemble du Réseaux de transports et très efficace (surtout quand il n'y a pas de grèves).
De nombreux espaces verts sont mis à la disposition de la population (cela devient de plus en plus rare dans les grandes villes, il est convenu de dire).
En terme d'éducation le niveau n'est pas à la hauteur de la qualité mais ça reste tout juste satisfaisant (être un dieu intellectuel ne s'improvise pas c'est un fait).
En matière de santé ont peut noter deux très bons hôpitaux.","Les points négatifs : L'arrondissement est devenu une zone de non  droit victime de surcroît d'une insécurité omniprésente régnant en maître (ce qui n'est pas une surprise pour la capitale... toujours fidèle à sa réputation)
Pas assez de mondanité par respect pour les valeurs de la nation.

Adresse email invalide !!"
266,Avis posté le 07-01-2021 à 16:16,paris-12e-arrondissement_75112,Claude,6.69,7,7,7,7,7,7,7,7,2,"Les points positifs : Transport en commun de partout,  bois de Vincennes pas très loin,  restaurants et commerces à grande échelle.","Les points négatifs : Prix de location ou d'achat beaucoup trop chers.
Beaucoup de nuisances sonores selon le quartier.
Beaucoup de travaux en ce moment ce qui engendre des bouchons ou déviation. Les trottoirs sont remplis de crottes de chiens, où est passée la police pour mettre les amendes aux gens qui ne ramassent pas les merdes de leurs chiens et les caniveaux sont aussi dégueulasse que les trottoirs, franchement le quartier perd de son charme."
267,Avis posté le 17-12-2020 à 02:55,paris-12e-arrondissement_75112,Nounou975,9.50,9,8,8,10,10,10,8,9,10,"Les points positifs : Arrondissement très très agréable surtout côté Nation très commerçant, ciné théâtres, bars nombreux restaurants et très bien desservi par les transports en commun le Top (métro 1,2,6,8,8, RER A, bus, tramway), nombreux hôpitaux, il y a un large choix de commerces alimentaires des supermarchés et le marché 2 fois par semaine à Nation, les écoles sont superbes, école publique ou privée il y a le choix pour nos enfants et même les écoles supérieures, avec l'école Boulle l'école supérieur De journalistes et aussi l'université Sorbonne nouvelle campus Nation. j'aime bien cet arrondissement que je ne quitterais pour rien au monde, j'y vis depuis 15 ans et je m'y sens bien. La place de la nation refaite à neuf tout comme place de la bastille, il y a beaucoup de parcs dans le 12eme c'est très appréciable. C'est vraiment l'arrondissement pour y habiter et se poser, de plus on est épargné par l'afflux de touristes, un arrondissement très familial et Vocation universitaire.",Les points négatifs : Pas assez de piscine.
268,Avis posté le 24-10-2020 à 14:17,paris-12e-arrondissement_75112,Jecha,8.63,8,8,8,9,8,9,8,9,8,Les points positifs : Arrondissement paisible et bien équilibré entre offre commerciale espaces verts et dynamisme général.,"Les points négatifs : Trop de supermarchés au détriment des commerces de proximité. L'offre ""artisanale"" des arcades de l'avenue Daumesnil est très moyennement convaincante. .. Dommage de ne pas revaloriser le quartier vallée de Fécamp."
269,Avis posté le 09-10-2020 à 12:13,paris-12e-arrondissement_75112,lndde,9.19,10,8,9,10,10,9,9,10,9,"Les points positifs : L'environnement et le cadre de vie sont très positifs, il y a vraiment un travail réalisé pour rendre l'arrondissement agréable et on s'en rend très vite compte lorsqu'on y vit.

Transports de qualité: Métro 1,2,14,6,8..., tram t3a/b et de nombreuses lignes de bus

La diversité des commerces et de la restauration: offre variée et le plus souvent de qualité, il y a un bon équilibre entre les restaurants étrangers et ceux plus traditionnels.

De nombreux espaces verts : le bois de Vincennes, la coulée verte, le parc de Bercy, sans compter les petits parcs et squares de quartiers qui rendent cet arrondissement excellent pour l'épanouissement des enfants.

Le 12ème est un très bon arrondissement en terme d'éducation, l'enseignement public y est de qualité mais on trouve aussi des établissements privés de bons niveaux.

En matière de santé on compte 2 hôpitaux donc sur ce point cet arrondissement est excellent.

Il y a des événements culturels tout au long de l'année et la mairie en fait une bonne promotion, il y a également un conservatoire de musique.

Bref, globalement un des meilleurs arrondissements de Paris, surtout si vous êtes nouveaux en ville et que vous voulez vous acclimater tranquillement.","Les points négatifs : Le prix des logements sera un peu plus élevé qu'en banlieue, mais pour moi c'est le prix à payer pour bénéficier d'un très bon cadre de vie surtout à Paris; pour moi le prix du logement est élevé mais justifié.

Même si c'est un arrondissement très sûr et que la délinquance n'es pas très présente, le quartier des Arcades à Porte de Vincennes principalement peut être un peu tendu mais ça reste très rare.

Il y a de très nombreuses infrastructures sportives publiques mais il est parfois compliqué de trouver un club; les renseignements sur internet sont compliqués à trouver."
270,Avis posté le 30-09-2020 à 15:47,paris-12e-arrondissement_75112,Ck1,9.25,9,8,9,9,8,10,8,9,8,"Les points positifs : Le meilleur arrondissement de Paris ! Ayant habité une partie de mon enfance quartier Mairie, nous nous sommes installés dans le quartier de Bel Air depuis 1 an. Quartier agréable où il fait bon vivre, coulée verte et bois de Vincennes à quelques pas. École primaire et Collège de bons niveaux. Commerces de proximité nombreux et variés, que demander de plus ?",Les points négatifs : RAS
271,Avis posté le 05-09-2020 à 13:11,paris-12e-arrondissement_75112,Hideaki Annote,8.63,7,7,8,8,10,9,8,9,9,"Les points positifs : Le quartier Dugommier n'est pas touristique et finalement assez méconnu des parisiens. Pourtant, il est très agréable à vivre. L'architecture hausmanienne a du cachet, les espaces verts ne manquent pas, l'ambiance est douce et plutôt chaleureuse. Le joli parc de Bercy est à deux pas, tout comme la Cinémathèque française. La balade de Bercy village est sympathique et propose tout un choix de boutiques, restaurants et bars, avec l'ugc cinéma à proximité. Les commerces ne manquent pas : marchés, supermarchés, Biocop, biocbon, fromagers, traiteurs divers, bonnes libraires. Le quartier est bien relié: la ligne 14 à deux pas permet de joindre le centre en moins de 20 min, comme la ligne 6, aérienne et très agréable, qui amène très rapidement à Montparnasse. Bastille et Nation sont à un quart d'heure / 20 minutes à pieds, tout comme Gare de Lyon par le chemin de la coulée verte.","Les points négatifs : Si le quartier est peu touristique, c'est sûrement pour son caractère résidentiel, un peu calme, peut-être pas assez jeune dans l'esprit. Il manque quelques bars abordables ; il faut choisir entre les bars chics et chers et les pmu un peu glauques. Si vous habitez près des voies ferrées, il faut vous habituer au bruit permanent des trains. Surtout, les cambriolages sont fréquents dans le quartier. L'ambiance est assez tranquille le soir, mais si vous vous éloignez vers Bercy et gare de Lyon, la vigilance peut être de mise."
272,Avis posté le 10-06-2020 à 23:25,paris-12e-arrondissement_75112,Minette75012,9.00,7,8,9,9,7,10,8,8,8,"Les points positifs : - Proximité avec le bois de Vincennes
- Quartier cosmopolite qui se développe
- Immobilier « un peu » moins cher qu'ailleurs
- Beaucoup de métros / trams
- Proximité Gare de Lyon
- Bercy Village et l'Accord Hotel Arena
- Les petits bars pas trop connus
- Le parcours de la Coulée Verte

Nous nous sommes installés dans le 12 eme arrondissement il y a de cela un an et demi, non loin du Bois de Vincennes. La phrase qui me revient le plus à chaque fois que je sors de chez moi ; « Comme il fait bon vivre ! » et c'est vraiment sincère. Pourtant, nous ne sommes pas dans les plus « beaux quartiers » ! Il y a certes des points négatifs, mais si vous n'êtes pas Parisien et que vous venez vivre à Paris choisissez le 12eme arrondissement sans hésiter !","Les points négatifs : - Beaucoup de circulation (mais bon.. nous sommes à Paris)
- Le bruit, si vous habitez près d'un boulevard
- La Foire du Trône dès avril/mai... c'est le prix à payer pour un si joli parc. Mais j'avoue qu'à cette période, les gens se garent n'importe où et les jeunes sont heureux de vivre alors il font beaucoup de bruit !"
273,Avis posté le 25-05-2020 à 02:30,paris-12e-arrondissement_75112,Sisi,7.44,9,5,5,8,8,8,6,9,5,"Les points positifs : Habitant Allée Vivaldi, on peut profiter de la coulée verte pour courir ou marcher un peu jusqu'au bois de Vincennes.
Les supermarché sont nombreux.
Le marché Aligre et celui de Reuilly.","Les points négatifs : L'allée Vivaldi est devenue un squat de clochards. Et bien sûr les gens qui traînent et crient la nuit sous les fenêtres sans que la police intervienne. Ils ont une chance de vivre à Paris mais préfèrent transformer cette rue comme si ils habitaient à Grigny, ça se prend pour des gars de banlieue alors qu'ils vivent dans le 12eme."
274,Avis posté le 06-05-2020 à 19:46,paris-12e-arrondissement_75112,Youm,8.19,8,9,7,9,10,8,7,8,9,"Les points positifs : Proche du bois de Vincennes.   
Bien desservie par métro/bus/tram.
Proche des quartiers qui bougent.
Population sympathique.
Des marchés en extérieur quasi tous les jours, De bons commerces.","Les points négatifs : Un peu Excentré.
Cher pour l'achat.
Bruyant par endroit."
275,Avis posté le 30-09-2019 à 14:54,paris-12e-arrondissement_75112,sylvie_vauthier,8.69,10,10,9,10,7,9,5,9,7,"Les points positifs : J'y vis depuis 3 ans, métro Bel Air. C'est le Paris des habitants, pas des touristes. La coulée verte, une rue calme, à deux pas, une rue animée avec des commerces. Beaucoup de familles trentenaires avec enfants, et en septembre 2020, la nouvelle université Sorbonne nouvelle.","Les points négatifs : C'est cher bien entendu. 9000 euros le m2, il vaut mieux être propriétaire que locataire à ce tarif."
